index,duration_ms
1,0.251
2,0.511
3,1.769
4,0.981
5,0.354
6,0.810
7,0.789
8,1.017
9,0.486
10,0.960
11,0.468
12,1.028
13,0.283
14,0.607
15,0.498
16,0.992
17,0.616
18,1.733
19,0.885
20,0.443
21,0.217
22,0.788
23,0.713
24,0.574
25,0.425
26,0.536
27,0.547
28,0.879
29,0.805
30,0.324
31,0.489
32,0.525
33,0.593
34,0.745
35,1.292
36,0.688
37,0.478
38,0.321
39,1.119
40,0.471
41,0.686
42,18.521
43,0.667
44,0.331
45,0.397
46,0.316
47,0.395
48,0.606
49,0.830
50,1.128
51,0.482
52,0.488
53,0.274
54,0.459
55,0.439
56,0.853
57,0.314
58,0.520
59,0.201
60,0.388
61,0.354
62,0.678
63,0.498
64,11.415
65,0.395
66,0.698
67,0.913
68,0.780
69,0.498
70,0.891
71,0.611
72,0.779
73,0.354
74,0.588
75,0.276
76,0.821
77,0.697
78,0.996
79,0.441
80,0.658
81,0.942
82,0.843
83,0.597
84,1.114
85,0.614
86,2.093
87,0.838
88,1.076
89,0.517
90,0.735
91,1.053
92,0.652
93,0.833
94,0.721
95,0.626
96,0.813
97,0.230
98,0.669
99,1.438
100,1.432
